,dist,prob
0,700.0,0.0
1,700.1300130013001,0.0
2,700.2600260026003,0.0
3,700.3900390039004,0.0
4,700.5200520052006,0.0
5,700.6500650065007,0.0
6,700.7800780078007,0.0
7,700.9100910091009,0.0
8,701.040104010401,0.0
9,701.1701170117012,0.0
10,701.3001300130013,0.0
11,701.4301430143014,0.0
12,701.5601560156016,0.0
13,701.6901690169017,0.0
14,701.8201820182019,0.0
15,701.950195019502,0.0
16,702.080208020802,0.0
17,702.2102210221022,0.0
18,702.3402340234023,0.0
19,702.4702470247024,0.0
20,702.6002600260026,0.0
21,702.7302730273027,0.0
22,702.8602860286029,0.0
23,702.990299029903,0.0
24,703.1203120312031,0.0
25,703.2503250325033,0.0
26,703.3803380338034,0.0
27,703.5103510351036,0.0
28,703.6403640364036,0.0
29,703.7703770377037,0.0
30,703.9003900390039,0.0
31,704.030403040304,0.0
32,704.1604160416042,0.0
33,704.2904290429043,0.0
34,704.4204420442044,0.0
35,704.5504550455046,0.0
36,704.6804680468047,0.0
37,704.8104810481049,0.0
38,704.940494049405,0.0
39,705.070507050705,0.0
40,705.2005200520052,0.0
41,705.3305330533053,0.0
42,705.4605460546055,0.0
43,705.5905590559056,0.0
44,705.7205720572057,0.0
45,705.8505850585059,0.0
46,705.980598059806,0.0
47,706.110611061106,0.0
48,706.2406240624063,0.0
49,706.3706370637063,0.0
50,706.5006500650065,0.0
51,706.6306630663066,0.0
52,706.7606760676067,0.0
53,706.8906890689069,0.0
54,707.020702070207,0.0
55,707.1507150715072,0.0
56,707.2807280728073,0.0
57,707.4107410741074,0.0
58,707.5407540754076,0.0
59,707.6707670767076,0.0
60,707.8007800780078,0.0
61,707.9307930793079,0.0
62,708.060806080608,0.0
63,708.1908190819082,0.0
64,708.3208320832083,0.0
65,708.4508450845085,0.0
66,708.5808580858086,0.0
67,708.7108710871087,0.0
68,708.8408840884089,0.0
69,708.970897089709,0.0
70,709.1009100910092,0.0
71,709.2309230923092,0.0
72,709.3609360936093,0.0
73,709.4909490949095,0.0
74,709.6209620962096,0.0
75,709.7509750975098,0.0
76,709.8809880988099,0.0
77,710.01100110011,0.0
78,710.1410141014102,0.0
79,710.2710271027103,0.0
80,710.4010401040103,0.0
81,710.5310531053105,0.0
82,710.6610661066106,0.0
83,710.7910791079108,0.0
84,710.9210921092109,0.0
85,711.051105110511,0.0
86,711.1811181118112,0.0
87,711.3111311131113,0.0
88,711.4411441144115,0.0
89,711.5711571157116,0.0
90,711.7011701170117,0.0
91,711.8311831183119,0.0
92,711.9611961196119,0.0
93,712.0912091209121,0.0
94,712.2212221222122,0.0
95,712.3512351235123,0.0
96,712.4812481248125,0.0
97,712.6112611261126,0.0
98,712.7412741274128,0.0
99,712.8712871287129,0.0
100,713.001300130013,0.0
101,713.1313131313132,0.0
102,713.2613261326132,0.0
103,713.3913391339134,0.0
104,713.5213521352135,0.0
105,713.6513651365136,0.0
106,713.7813781378138,0.0
107,713.9113911391139,0.0
108,714.041404140414,0.0
109,714.1714171417142,0.0
110,714.3014301430143,0.0
111,714.4314431443145,0.0
112,714.5614561456146,0.0
113,714.6914691469146,0.0
114,714.8214821482148,0.0
115,714.9514951495149,0.0
116,715.0815081508151,0.0
117,715.2115211521152,0.0
118,715.3415341534153,0.0
119,715.4715471547155,0.0
120,715.6015601560156,0.0
121,715.7315731573158,0.0
122,715.8615861586159,0.0
123,715.991599159916,0.0
124,716.1216121612161,0.0
125,716.2516251625162,0.0
126,716.3816381638164,0.0
127,716.5116511651165,0.0
128,716.6416641664166,0.0
129,716.7716771677168,0.0
130,716.9016901690169,0.0
131,717.0317031703171,0.0
132,717.1617161716172,0.0
133,717.2917291729173,0.0
134,717.4217421742175,0.0
135,717.5517551755175,0.0
136,717.6817681768177,0.0
137,717.8117811781178,0.0
138,717.9417941794179,0.0
139,718.0718071807181,0.0
140,718.2018201820182,0.0
141,718.3318331833183,0.0
142,718.4618461846185,0.0
143,718.5918591859186,0.0
144,718.7218721872188,0.0
145,718.8518851885188,0.0
146,718.9818981898189,0.0
147,719.1119111911191,0.0
148,719.2419241924192,0.0
149,719.3719371937194,0.0
150,719.5019501950195,0.0
151,719.6319631963196,0.0
152,719.7619761976198,0.0
153,719.8919891989199,0.0
154,720.0220022002201,0.0
155,720.1520152015202,0.0
156,720.2820282028202,0.0
157,720.4120412041204,0.0
158,720.5420542054205,0.0
159,720.6720672067207,0.0
160,720.8020802080208,0.0
161,720.9320932093209,0.0
162,721.0621062106211,0.0
163,721.1921192119212,0.0
164,721.3221322132213,0.0
165,721.4521452145215,0.0
166,721.5821582158216,0.0
167,721.7121712171217,0.0
168,721.8421842184218,0.0
169,721.9721972197219,0.0
170,722.1022102210221,0.0
171,722.2322232223222,0.0
172,722.3622362236224,0.0
173,722.4922492249225,0.0
174,722.6222622262226,0.0
175,722.7522752275228,0.0
176,722.8822882288229,0.0
177,723.0123012301231,0.0
178,723.1423142314231,0.0
179,723.2723272327232,0.0
180,723.4023402340234,0.0
181,723.5323532353235,0.0
182,723.6623662366237,0.0
183,723.7923792379238,0.0
184,723.9223922392239,0.0
185,724.0524052405241,0.0
186,724.1824182418242,0.0
187,724.3124312431244,0.0
188,724.4424442444245,0.0
189,724.5724572457245,0.0
190,724.7024702470247,0.0
191,724.8324832483248,0.0
192,724.962496249625,0.0
193,725.0925092509251,0.0
194,725.2225222522252,0.0
195,725.3525352535254,0.0
196,725.4825482548255,0.0
197,725.6125612561256,0.0
198,725.7425742574258,0.0
199,725.8725872587258,0.0
200,726.002600260026,0.0
