,feh,prob
0,-3.0,0.0
1,-2.9995999599959995,0.0
2,-2.9991999199919994,0.0
3,-2.998799879987999,0.0
4,-2.9983998399839984,0.0
5,-2.997999799979998,0.0
6,-2.997599759975998,0.0
7,-2.9971997199719973,0.0
8,-2.996799679967997,0.0
9,-2.9963996399639963,0.0
10,-2.995999599959996,0.0
11,-2.9955995599559957,0.0
12,-2.995199519951995,0.0
13,-2.9947994799479947,0.0
14,-2.9943994399439946,0.0
15,-2.993999399939994,0.0
16,-2.9935993599359936,0.0
17,-2.993199319931993,0.0
18,-2.992799279927993,0.0
19,-2.9923992399239925,0.0
20,-2.991999199919992,0.0
21,-2.9915991599159915,0.0
22,-2.9911991199119914,0.0
23,-2.990799079907991,0.0
24,-2.9903990399039904,0.0
25,-2.98999899989999,0.0
26,-2.98959895989599,0.0
27,-2.9891989198919893,0.0
28,-2.9887988798879888,0.0
29,-2.9883988398839882,0.0
30,-2.987998799879988,0.0
31,-2.9875987598759877,0.0
32,-2.987198719871987,0.0
33,-2.9867986798679866,0.0
34,-2.9863986398639866,0.0
35,-2.985998599859986,0.0
36,-2.9855985598559855,0.0
37,-2.985198519851985,0.0
38,-2.984798479847985,0.0
39,-2.9843984398439845,0.0
40,-2.983998399839984,0.0
41,-2.9835983598359834,0.0
42,-2.9831983198319834,0.0
43,-2.982798279827983,0.0
44,-2.9823982398239823,0.0
45,-2.981998199819982,0.0
46,-2.9815981598159818,0.0
47,-2.9811981198119812,0.0
48,-2.9807980798079807,0.0
49,-2.98039803980398,0.0
50,-2.97999799979998,0.0
51,-2.9795979597959796,0.0
52,-2.979197919791979,0.0
53,-2.9787978797879786,0.0
54,-2.9783978397839785,0.0
55,-2.977997799779978,0.0
56,-2.9775977597759775,0.0
57,-2.977197719771977,0.0
58,-2.976797679767977,0.0
59,-2.9763976397639764,0.0
60,-2.975997599759976,0.0
61,-2.9755975597559754,0.0
62,-2.9751975197519753,0.0
63,-2.974797479747975,0.0
64,-2.9743974397439743,0.0
65,-2.973997399739974,0.0
66,-2.9735973597359737,0.0
67,-2.973197319731973,0.0
68,-2.9727972797279727,0.0
69,-2.972397239723972,0.0
70,-2.971997199719972,0.0
71,-2.9715971597159716,0.0
72,-2.971197119711971,0.0
73,-2.9707970797079706,0.0
74,-2.9703970397039705,0.0
75,-2.96999699969997,0.0
76,-2.9695969596959695,0.0
77,-2.969196919691969,0.0
78,-2.968796879687969,0.0
79,-2.9683968396839684,0.0
80,-2.967996799679968,0.0
81,-2.967596759675968,0.0
82,-2.9671967196719673,0.0
83,-2.966796679667967,0.0
84,-2.9663966396639663,0.0
85,-2.965996599659966,0.0
86,-2.9655965596559657,0.0
87,-2.965196519651965,0.0
88,-2.9647964796479647,0.0
89,-2.9643964396439646,0.0
90,-2.963996399639964,0.0
91,-2.9635963596359636,0.0
92,-2.963196319631963,0.0
93,-2.962796279627963,0.0
94,-2.9623962396239625,0.0
95,-2.961996199619962,0.0
96,-2.9615961596159615,0.0
97,-2.9611961196119614,0.0
98,-2.960796079607961,0.0
99,-2.9603960396039604,0.0
100,-2.95999599959996,0.0
101,-2.95959595959596,0.0
102,-2.9591959195919593,0.0
103,-2.9587958795879588,0.0
104,-2.9583958395839582,0.0
105,-2.957995799579958,0.0
106,-2.9575957595759577,0.0
107,-2.957195719571957,0.0
108,-2.9567956795679566,0.0
109,-2.9563956395639566,0.0
110,-2.955995599559956,0.0
111,-2.9555955595559555,0.0
112,-2.955195519551955,0.0
113,-2.954795479547955,0.0
114,-2.9543954395439544,0.0
115,-2.953995399539954,0.0
116,-2.9535953595359534,0.0
117,-2.9531953195319534,0.0
118,-2.952795279527953,0.0
119,-2.9523952395239523,0.0
120,-2.951995199519952,0.0
121,-2.9515951595159517,0.0
122,-2.9511951195119512,0.0
123,-2.9507950795079507,0.0
124,-2.95039503950395,0.0
125,-2.94999499949995,0.0
126,-2.9495949594959496,0.0
127,-2.949194919491949,0.0
128,-2.9487948794879486,0.0
129,-2.9483948394839485,0.0
130,-2.947994799479948,0.0
131,-2.9475947594759475,0.0
132,-2.947194719471947,0.0
