,feh,prob
0,1190.01900190019,4.75219896436082e-51
1,1190.1490149014903,4.9395621690539755e-51
2,1190.2790279027904,5.1300081842326176e-51
3,1190.4090409040905,5.323405201255682e-51
4,1190.5390539053906,5.519630543957092e-51
5,1190.6690669066907,5.71857394656596e-51
6,1190.7990799079907,5.920140917771677e-51
7,1190.9290929092908,6.124256155476791e-51
8,1191.0591059105911,6.330866977157743e-51
9,1191.1891189118912,6.539946732066319e-51
10,1191.3191319131913,6.751498163992552e-51
11,1191.4491449144914,6.965556696819694e-51
12,1191.5791579157917,7.182193619207629e-51
13,1191.7091709170918,7.401519149899642e-51
14,1191.8391839183919,7.623685370450835e-51
15,1191.969196919692,7.84888901782179e-51
16,1192.099209920992,8.077374135165485e-51
17,1192.2292229222921,8.309434584354855e-51
18,1192.3592359235925,8.545416428992575e-51
19,1192.4892489248925,8.785720200816708e-51
20,1192.6192619261926,9.030803066118244e-51
21,1192.7492749274927,9.281180910886354e-51
22,1192.879287928793,9.537430365369736e-51
23,1193.009300930093,9.800190788567698e-51
24,1193.1393139313932,1.0070166232663981e-50
25,1193.2693269326933,1.0348127405643274e-50
26,1193.3993399339934,1.0634913647518621e-50
27,1193.5293529352934,1.0931434932321804e-50
28,1193.6593659365938,1.123867390407399e-50
29,1193.7893789378938,1.1557687950446346e-50
30,1193.919391939194,1.1889611313900537e-50
31,1194.049404940494,1.223565723532861e-50
32,1194.1794179417943,1.2597120121761598e-50
33,1194.3094309430944,1.297537772608969e-50
34,1194.4394439443945,1.3371893324412282e-50
35,1194.5694569456946,1.37882178744302e-50
36,1194.6994699469947,1.4225992137873448e-50
37,1194.8294829482948,1.4686948750139424e-50
38,1194.959495949595,1.5172914221072713e-50
39,1195.0895089508952,1.568581085353844e-50
40,1195.2195219521952,1.6227658568922409e-50
41,1195.3495349534953,1.6800576632945947e-50
42,1195.4795479547956,1.7406785278993616e-50
43,1195.6095609560957,1.8048607231472971e-50
44,1195.7395739573958,1.8728469135904622e-50
45,1195.869586958696,1.9448902907954452e-50
46,1195.999599959996,2.0212547017448435e-50
47,1196.129612961296,2.1022147727911563e-50
48,1196.2596259625964,2.1880560314434876e-50
49,1196.3896389638965,2.2790750285678256e-50
50,1196.5196519651965,2.3755794635225695e-50
51,1196.6496649664966,2.4778883148200993e-50
52,1196.779677967797,2.586331978489426e-50
53,1196.909690969097,2.7012524160460376e-50
54,1197.039703970397,2.823003313267208e-50
55,1197.1697169716972,2.9519502501838275e-50
56,1197.2997299729973,3.0884708817752236e-50
57,1197.4297429742974,3.232955127588424e-50
58,1197.5597559755975,3.385805367242886e-50
59,1197.6897689768978,3.5474366372737124e-50
60,1197.8197819781979,3.718276823072366e-50
61,1197.949794979498,3.898766838092681e-50
62,1198.0798079807983,4.089360780528609e-50
63,1198.2098209820983,4.290526055921713e-50
64,1198.3398339833984,4.502743452256788e-50
65,1198.4698469846985,4.726507152263368e-50
66,1198.5998599859986,4.962324665866099e-50
67,1198.7298729872987,5.210716664141613e-50
68,1198.8598859885988,5.472216694497663e-50
69,1198.989898989899,5.747370755639383e-50
70,1199.1199119911992,6.036736709698316e-50
71,1199.2499249924992,6.34088350820669e-50
72,1199.3799379937993,6.660390208067155e-50
73,1199.5099509950996,6.995844753745179e-50
74,1199.6399639963997,7.34784250213955e-50
75,1199.7699769976998,7.716984467596046e-50
76,1199.899989999,8.103875265813817e-50
77,1200.0300030003,8.509120737505792e-50
78,1200.1600160016,8.933325235269137e-50
79,1200.2900290029004,9.377088560462086e-50
80,1200.4200420042005,9.841002540985899e-50
81,1200.5500550055006,1.0325647245712684e-49
82,1200.6800680068006,1.0831586837013672e-49
83,1200.810081008101,1.1359365069267537e-49
84,1200.940094009401,1.1909500448331995e-49
85,1201.0701070107011,1.248248107552876e-49
86,1201.2001200120012,1.3078759207691491e-49
87,1201.3301330133013,1.3698745574979238e-49
88,1201.4601460146014,1.4342803507341063e-49
89,1201.5901590159017,1.5011242931260953e-49
90,1201.7201720172018,1.570431430858236e-49
91,1201.8501850185019,1.642220259921972e-49
92,1201.980198019802,1.7165021339824397e-49
93,1202.1102110211023,1.7932806939370204e-49
94,1202.2402240224023,1.872551330088869e-49
95,1202.3702370237024,1.954300688521266e-49
96,1202.5002500250025,2.0385062337948717e-49
97,1202.6302630263026,2.1251358803294686e-49
98,1202.7602760276027,2.2141477049558392e-49
99,1202.890289028903,2.305489752811291e-49
100,1203.020302030203,2.3990999483585532e-49
101,1203.1503150315032,2.494906122322772e-49
102,1203.2803280328033,2.5928261643585966e-49
103,1203.4103410341036,2.692768309616478e-49
104,1203.5403540354037,2.7946315657364387e-49
105,1203.6703670367037,2.8983062846177526e-49
106,1203.8003800380038,3.0036748809911437e-49
107,1203.930393039304,3.110612697380663e-49
108,1204.060406040604,3.2189890121711374e-49
109,1204.1904190419043,3.3286681848492997e-49
110,1204.3204320432044,3.439510929642564e-49
111,1204.4504450445045,3.551375705948231e-49
112,1204.5804580458046,3.664120211463806e-49
113,1204.7104710471049,3.777602961426196e-49
114,1204.840484048405,3.89168493524707e-49
115,1204.970497049705,4.006231270195628e-49
116,1205.1005100510051,4.121112980236316e-49
117,1205.2305230523052,4.236208677444712e-49
118,1205.3605360536053,4.351406272850832e-49
119,1205.4905490549054,4.466604633841272e-49
120,1205.6205620562057,4.581715175719244e-49
121,1205.7505750575058,4.6966633662349785e-49
122,1205.8805880588059,4.811390123503712e-49
123,1206.0106010601062,4.925853089538954e-49
124,1206.1406140614063,5.040027764329942e-49
125,1206.2706270627064,5.1539084876426445e-49
126,1206.4006400640064,5.267509258912685e-49
127,1206.5306530653065,5.380864388404528e-49
128,1206.6606660666066,5.494028975913154e-49
129,1206.7906790679067,5.607079216366654e-49
130,1206.920692069207,5.7201125344404874e-49
131,1207.050705070507,5.8332475532783814e-49
132,1207.1807180718072,5.9466239044306e-49
133,1207.3107310731073,6.060401889035624e-49
134,1207.4407440744076,6.174762001231304e-49
135,1207.5707570757077,6.2899043271430194e-49
136,1207.7007700770077,6.406047833017301e-49
137,1207.8307830783078,6.523429557566372e-49
138,1207.960796079608,6.642303723329276e-49
139,1208.090809080908,6.762940781932446e-49
140,1208.2208220822083,6.885626407826147e-49
141,1208.3508350835084,7.010660454183478e-49
142,1208.4808480848085,7.138355883705729e-49
143,1208.6108610861086,7.26903768561795e-49
144,1208.7408740874089,7.40304178890157e-49
145,1208.870887088709,7.540713980086872e-49
146,1209.000900090009,7.682408831979408e-49
147,1209.1309130913091,7.828488648287485e-49
148,1209.2609260926092,7.979322426875464e-49
149,1209.3909390939093,8.135284842889195e-49
150,1209.5209520952096,8.296755250981578e-49
151,1209.6509650965097,8.46411670452669e-49
152,1209.7809780978098,8.637754987794814e-49
153,1209.9109910991099,8.81805765601825e-49
154,1210.0410041004102,9.005413076918364e-49
155,1210.1710171017103,9.200209466190086e-49
156,1210.3010301030104,9.402833908901135e-49
157,1210.4310431043104,9.613671357819987e-49
158,1210.5610561056105,9.833103599737746e-49
159,1210.6910691069106,1.0061508180491429e-48
160,1210.821082108211,1.0299257279673177e-48
161,1210.951095109511,1.0546716526506856e-48
162,1211.081108110811,1.0804243748844583e-48
163,1211.2111211121112,1.1072187648691355e-48
164,1211.3411341134115,1.135088639806727e-48
165,1211.4711471147116,1.164066615133573e-48
166,1211.6011601160117,1.1941839471543853e-48
167,1211.7311731173118,1.225470366986028e-48
168,1211.8611861186118,1.2579539060294966e-48
169,1211.991199119912,1.2916607133431947e-48
170,1212.121212121212,1.3266148656154861e-48
171,1212.2512251225123,1.3628381706679126e-48
172,1212.3812381238124,1.400349965744956e-48
173,1212.5112511251125,1.4391669121481554e-48
174,1212.6412641264128,1.4793027880330188e-48
175,1212.771277127713,1.5207682815837535e-48
176,1212.901290129013,1.563570787014075e-48
177,1213.031303130313,1.607714206175837e-48
178,1213.1613161316131,1.6531987588620808e-48
179,1213.2913291329132,1.7000208050796577e-48
180,1213.4213421342133,1.74817268291534e-48
181,1213.5513551355136,1.797642565705776e-48
182,1213.6813681368137,1.8484143424421052e-48
183,1213.8113811381138,1.9004675254203996e-48
184,1213.9413941394141,1.9537771891860063e-48
185,1214.0714071407142,2.0083139447946013e-48
186,1214.2014201420143,2.0640439532912285e-48
187,1214.3314331433144,2.1209289821544145e-48
188,1214.4614461446145,2.178926508109429e-48
189,1214.5914591459145,2.237989869390662e-48
190,1214.7214721472146,2.2980684700223845e-48
191,1214.851485148515,2.3591080381195637e-48
192,1214.981498149815,2.4210509395133087e-48
193,1215.111511151115,2.483836547203443e-48
194,1215.2415241524154,2.5474016663312745e-48
195,1215.3715371537155,2.6116810132890247e-48
196,1215.5015501550156,2.676607746628986e-48
197,1215.6315631563157,2.7421140462756807e-48
198,1215.7615761576158,2.8081317364695315e-48
199,1215.8915891589158,2.87459294662107e-48
200,1216.021602160216,2.9414308031547e-48
201,1216.151615161516,3.0085801443637745e-48
202,1216.2816281628163,3.075978249127969e-48
203,1216.4116411641164,3.143565569599377e-48
204,1216.5416541654167,3.211286456996286e-48
205,1216.6716671667168,3.27908986920706e-48
206,1216.801680168017,3.346930048452063e-48
207,1216.931693169317,3.414767157119562e-48
208,1217.061706170617,3.482567860115474e-48
209,1217.1917191719172,3.5503058424841046e-48
210,1217.3217321732172,3.6179622518517654e-48
211,1217.4517451745173,3.6855260563554476e-48
212,1217.5817581758176,3.7529943102413605e-48
213,1217.7117711771177,3.8203723208982005e-48
214,1217.841784178418,3.8876737133057917e-48
215,1217.9717971797181,3.954920390062943e-48
216,1218.1018101810182,4.022142387537058e-48
217,1218.2318231823183,4.08937763149967e-48
218,1218.3618361836184,4.156671597931042e-48
219,1218.4918491849185,4.2240768875361486e-48
220,1218.6218621862186,4.291652724878489e-48
221,1218.7518751875186,4.3594643952500514e-48
222,1218.881888188819,4.4275826345039655e-48
223,1219.011901190119,4.4960829885829736e-48
224,1219.1419141914191,4.565045160636313e-48
225,1219.2719271927194,4.6345523643027297e-48
226,1219.4019401940195,4.7046907017466703e-48
227,1219.5319531953196,4.775548584696512e-48
228,1219.6619661966197,4.8472162156138543e-48
229,1219.7919791979198,4.9197851444659744e-48
230,1219.9219921992199,4.9933479147219217e-48
231,1220.05200520052,5.0679978093831657e-48
232,1220.1820182018203,5.143828705139244e-48
233,1220.3120312031203,5.220935039681493e-48
234,1220.4420442044204,5.299411893547773e-48
235,1220.5720572057207,5.3793551851047396e-48
236,1220.7020702070208,5.4608619733766815e-48
237,1220.832083208321,5.544030861036164e-48
238,1220.962096209621,5.628962486461109e-48
239,1221.092109210921,5.715760091909099e-48
240,1221.2221222122212,5.804530152579837e-48
241,1221.3521352135213,5.895383050052359e-48
242,1221.4821482148216,5.988433772681102e-48
243,1221.6121612161216,6.083802625099997e-48
244,1221.7421742174217,6.181615929183436e-48
245,1221.872187218722,6.282006699419107e-48
246,1222.0022002200221,6.38511527676082e-48
247,1222.1322132213222,6.491089906276997e-48
248,1222.2622262226223,6.600087245872318e-48
249,1222.3922392239224,6.712272794759721e-48
250,1222.5222522252225,6.82782123299284e-48
251,1222.6522652265226,6.946916664646985e-48
252,1222.7822782278229,7.069752759635393e-48
253,1222.912291229123,7.196532790709333e-48
254,1223.042304230423,7.327469563967432e-48
255,1223.1723172317234,7.462785242317349e-48
256,1223.3023302330234,7.602711062776371e-48
257,1223.4323432343235,7.747486949142475e-48
258,1223.5623562356236,7.897361022230833e-48
259,1223.6923692369237,8.052589010610747e-48
260,1223.8223822382238,8.213433564219047e-48
261,1223.9523952395239,8.380163474229974e-48
262,1224.082408240824,8.553052801808085e-48
263,1224.2124212421243,8.732379918415056e-48
264,1224.3424342434243,8.918426460467928e-48
265,1224.4724472447247,9.111476200621463e-48
266,1224.6024602460247,9.311813838294261e-48
267,1224.7324732473248,9.519723711972121e-48
268,1224.862486248625,9.735488435926637e-48
269,1224.992499249925,9.959387464616941e-48
270,1225.122512251225,1.0191695588376079e-47
271,1225.2525252525252,1.0432681364487783e-47
272,1225.3825382538253,1.0682605488992471e-47
273,1225.5125512551256,1.0941719114846389e-47
274,1225.6425642564257,1.1210262123381763e-47
275,1225.772577257726,1.148846135675939e-47
276,1225.902590259026,1.1776528820007093e-47
277,1226.0326032603261,1.207465986212986e-47
278,1226.1626162616262,1.2383031346307716e-47
279,1226.2926292629263,1.270179981985227e-47
280,1226.4226422642264,1.3031099694751593e-47
281,1226.5526552655265,1.3371041449897457e-47
